x,y,value,group,label,facet,source,target,weight,lower,upper
10.0,5.8,5.8,,item_234,,10.0,5.8,5.8,-74.80307080516668,86.40307080516668
35.8,2.1,2.1,,item_235,,35.8,2.1,2.1,-78.50307080516669,82.70307080516667
2.8,0.7,0.7,,item_236,,2.8,0.7,0.7,-79.90307080516668,81.30307080516668
27.1,36.1,36.1,,item_237,,27.1,36.1,36.1,-44.50307080516668,116.70307080516667
6.4,3.2,3.2,,item_238,,6.4,3.2,3.2,-77.40307080516668,83.80307080516668
221.4,554.7,554.7,,item_239,,221.4,554.7,554.7,474.09692919483336,635.3030708051667
156.3,193.0,193.0,,item_240,,156.3,193.0,193.0,112.39692919483332,273.6030708051667
0.1,0.0,0.0,,item_241,,0.1,0.0,0.0,-80.60307080516668,80.60307080516668
0.0,0.0,0.0,,item_242,,0.0,0.0,0.0,-80.60307080516668,80.60307080516668
9.3,0.9,0.9,,item_243,,9.3,0.9,0.9,-79.70307080516667,81.50307080516669
11.6,12.0,12.0,,item_244,,11.6,12.0,12.0,-68.60307080516668,92.60307080516668
0.0,0.1,0.1,,item_245,,0.0,0.1,0.1,-80.50307080516669,80.70307080516667
0.0,2.6,2.6,,item_246,,0.0,2.6,2.6,-78.00307080516669,83.20307080516667
26.0,14.4,14.4,,item_247,,26.0,14.4,14.4,-66.20307080516667,95.00307080516669
41.7,40.1,40.1,,item_248,,41.7,40.1,40.1,-40.50307080516668,120.70307080516667
1.4,0.2,0.2,,item_249,,1.4,0.2,0.2,-80.40307080516668,80.80307080516668
2.1,27.2,27.2,,item_250,,2.1,27.2,27.2,-53.40307080516668,107.80307080516668
41.3,40.8,40.8,,item_251,,41.3,40.8,40.8,-39.80307080516668,121.40307080516668
13.7,2.7,2.7,,item_252,,13.7,2.7,2.7,-77.90307080516668,83.30307080516668
11.6,13.0,13.0,,item_253,,11.6,13.0,13.0,-67.60307080516668,93.60307080516668
0.4,0.1,0.1,,item_254,,0.4,0.1,0.1,-80.50307080516669,80.70307080516667
68.4,65.0,65.0,,item_255,,68.4,65.0,65.0,-15.60307080516668,145.60307080516668
40.1,36.0,36.0,,item_256,,40.1,36.0,36.0,-44.60307080516668,116.60307080516668
1.5,0.4,0.4,,item_257,,1.5,0.4,0.4,-80.20307080516667,81.00307080516669
57.1,53.4,53.4,,item_258,,57.1,53.4,53.4,-27.203070805166682,134.0030708051667
69.1,60.8,60.8,,item_259,,69.1,60.8,60.8,-19.803070805166683,141.4030708051667
4.2,0.9,0.9,,item_260,,4.2,0.9,0.9,-79.70307080516667,81.50307080516669
31.7,19.7,19.7,,item_261,,31.7,19.7,19.7,-60.90307080516668,100.30307080516668
1.6,0.0,0.0,,item_262,,1.6,0.0,0.0,-80.60307080516668,80.60307080516668
60.7,51.1,51.1,,item_263,,60.7,51.1,51.1,-29.50307080516668,131.70307080516667
25.6,5.9,5.9,,item_264,,25.6,5.9,5.9,-74.70307080516667,86.50307080516669
20.1,13.2,13.2,,item_265,,20.1,13.2,13.2,-67.40307080516668,93.80307080516668
22.2,16.6,16.6,,item_266,,22.2,16.6,16.6,-64.00307080516669,97.20307080516667
12.3,7.3,7.3,,item_267,,12.3,7.3,7.3,-73.30307080516668,87.90307080516668
7.1,5.1,5.1,,item_268,,7.1,5.1,5.1,-75.50307080516669,85.70307080516667
0.6,0.2,0.2,,item_269,,0.6,0.2,0.2,-80.40307080516668,80.80307080516668
41.6,10.7,10.7,,item_270,,41.6,10.7,10.7,-69.90307080516668,91.30307080516668
138.1,65.3,65.3,,item_271,,138.1,65.3,65.3,-15.303070805166683,145.9030708051667
66.1,36.9,36.9,,item_272,,66.1,36.9,36.9,-43.70307080516668,117.50307080516669
8.5,6.7,6.7,,item_273,,8.5,6.7,6.7,-73.90307080516668,87.30307080516668
8.7,17.0,17.0,,item_274,,8.7,17.0,17.0,-63.60307080516668,97.60307080516668
12.9,2.9,2.9,,item_275,,12.9,2.9,2.9,-77.70307080516667,83.50307080516669
153.2,130.5,130.5,,item_276,,153.2,130.5,130.5,49.89692919483332,211.10307080516668
0.1,0.0,0.0,,item_277,,0.1,0.0,0.0,-80.60307080516668,80.60307080516668
42.7,7.3,7.3,,item_278,,42.7,7.3,7.3,-73.30307080516668,87.90307080516668
131.3,138.2,138.2,,item_279,,131.3,138.2,138.2,57.59692919483331,218.80307080516667
92.0,83.2,83.2,,item_280,,92.0,83.2,83.2,2.596929194833322,163.80307080516667
7.0,2.1,2.1,,item_281,,7.0,2.1,2.1,-78.50307080516669,82.70307080516667
2.6,0.4,0.4,,item_282,,2.6,0.4,0.4,-80.20307080516667,81.00307080516669
26.5,23.4,23.4,,item_283,,26.5,23.4,23.4,-57.20307080516668,104.00307080516669
